protocol_type,service,flag,src_bytes,count,serror_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_rerror_rate,actual,predict
1,55,8,0,1,1.0,0.0,255,141,0.55,0.41,0.0,0.0,0.44,0.4,outlier,u2r
1,55,7,0,1,1.0,0.0,255,179,0.7,0.03,0.0,0.0,0.33,0.12,outlier,u2r
1,55,8,0,1,1.0,0.0,255,167,0.65,0.32,0.0,0.0,0.5,0.32,outlier,u2r
1,55,8,0,1,1.0,0.0,255,150,0.59,0.38,0.0,0.0,0.48,0.37,outlier,u2r
1,55,8,0,1,1.0,0.0,255,146,0.57,0.39,0.0,0.0,0.46,0.38,outlier,u2r
1,55,8,0,1,1.0,0.0,255,148,0.58,0.38,0.0,0.0,0.47,0.38,outlier,u2r
1,55,8,0,1,1.0,0.0,255,145,0.57,0.4,0.0,0.0,0.46,0.39,outlier,u2r
1,55,8,0,1,1.0,0.0,255,136,0.53,0.43,0.0,0.0,0.42,0.42,outlier,u2r
1,55,8,0,1,1.0,0.0,255,149,0.58,0.38,0.0,0.0,0.47,0.37,outlier,u2r
1,55,8,0,1,1.0,0.0,255,138,0.54,0.42,0.0,0.0,0.43,0.41,outlier,u2r
1,55,8,0,1,1.0,0.0,255,147,0.58,0.39,0.0,0.0,0.47,0.38,outlier,u2r
1,55,8,0,1,1.0,0.0,255,151,0.59,0.37,0.0,0.0,0.48,0.36,outlier,u2r
1,55,8,0,1,1.0,0.0,255,144,0.56,0.4,0.0,0.0,0.45,0.39,outlier,u2r
1,55,8,0,1,1.0,0.0,255,135,0.53,0.43,0.0,0.0,0.42,0.42,outlier,u2r
1,55,8,0,1,1.0,0.0,255,142,0.56,0.41,0.0,0.0,0.45,0.4,outlier,u2r
1,55,8,0,1,1.0,0.0,255,154,0.6,0.37,0.0,0.0,0.49,0.36,outlier,u2r
1,55,8,0,1,1.0,0.0,255,137,0.54,0.42,0.0,0.0,0.43,0.42,outlier,u2r
1,55,8,0,1,1.0,0.0,255,152,0.6,0.37,0.0,0.0,0.49,0.36,outlier,u2r
1,55,8,0,1,1.0,0.0,255,139,0.55,0.42,0.0,0.0,0.44,0.41,outlier,u2r
